Property URL,MLS ID,Property type,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/2-Tall-Pines-Ct-West-Nyack-NY-10994/53409410_zpid/","","Single Family","1170000","03/29/2024","5952","sqft","196.57","0.96","acres","7","5","2 Tall Pines Court","West Nyack","10994","NY","USA"
"https://www.zillow.com/homedetails/13-Mansfield-Pl-Suffern-NY-10901/53420248_zpid/","","Single Family","545000","03/29/2024","1560","sqft","349.36","5227","sqft","3","2","13 Mansfield Place","Suffern","10901","NY","USA"
"https://www.zillow.com/homedetails/15-Nicole-Way-Chestnut-Ridge-NY-10977/53426040_zpid/","","Single Family","273200","03/29/2024","3082","sqft","88.64","0.8","acres","4","3","15 Nicole Way","Chestnut Ridge","10977","NY","USA"
"https://www.zillow.com/homedetails/139-Washington-Spring-Rd-Palisades-NY-10964/299039244_zpid/","","Single Family","4250000","03/29/2024","8100","sqft","524.69","1.68","acres","6","7","139 Washington Spring Road","Palisades","10964","NY","USA"
"https://www.zillow.com/homedetails/1-Boecher-Ct-New-City-NY-10956/53396064_zpid/","","Single Family","825025","03/28/2024","2678","sqft","308.08","0.53","acres","4","3","1 Boecher Court","New City","10956","NY","USA"
"https://www.zillow.com/homedetails/82-Demarest-Ave-APT-14-West-Nyack-NY-10994/53413650_zpid/","","Single Family","325000","03/28/2024","900","sqft","361.11","3049","sqft","2","1","82 Demarest Ave APT 14","West Nyack","10994","NY","USA"
"https://www.zillow.com/homedetails/2-Prendergast-Ct-Garnerville-NY-10923/53416232_zpid/","","Single Family","875000","03/28/2024","4196","sqft","208.53","0.38","acres","5","4","2 Prendergast Court","Garnerville","10923","NY","USA"
"https://www.zillow.com/homedetails/29-Hempstead-Rd-Spring-Valley-NY-10977/53424697_zpid/","","Single Family","655000","03/28/2024","1125","sqft","582.22","7841","sqft","3","1","29 Hempstead Road","Spring Valley","10977","NY","USA"
"https://www.zillow.com/homedetails/31-Eagle-St-Chestnut-Ridge-NY-10977/53425021_zpid/","","Single Family","1275000","03/28/2024","2480","sqft","514.11","0.87","acres","4","3","31 Eagle Street","Chestnut Ridge","10977","NY","USA"
"https://www.zillow.com/homedetails/108-Scotland-Hill-Rd-Spring-Valley-NY-10977/53425569_zpid/","","Single Family","1500000","03/28/2024","2871","sqft","522.47","2.05","acres","4","3","108 Scotland Hill Rd","Spring Valley","10977","NY","USA"
